ID,title,booktitle,author,pages,year,organization,ENTRYTYPE,publisher,journal,number,volume
1568,Where mathematics comes from: How the embodied mind brings mathematics into being,,"Lakoff, George and N{\'u}{\~n}ez, Rafael E",,2000,,book,Basic books,,,
1569,Where mathematics comes from,,"Lakoff, George and N{\'u}{\~n}ez, Rafael",,2003,,book,Santa Fe Institute,,,
1570,Some empirical results about the nature of concepts,,"Lakoff, George",103--129,1989,,article,Wiley Online Library,Mind \& Language,02-Jan,4
1571,Deep and surface grammar,,"Lakoff, George",,1968,,book,Indiana University Linguistics Club,,,
1572,Problems in form and function,,"Borkin, Ann",,1984,,book,Praeger Pub Text,,,
1573,Master metaphor list,,"Lakoff, George",,1994,,book,University of California,,,
1574,The Invariance Hypothesis: is abstract reason based on image-schemas?,,"Lakoff, George",39--74,1990,,article,,Cognitive Linguistics (includes Cognitive Linguistic Bibliography),1,1
1575,Classifiers as a reflection of mind,,"Lakoff, George",13--52,1986,,article,"Amsterdam, John Benjamins",Noun classes and categorization,,7
1576,johnson M,,"Lakoff, G",,1980,,article,Chicago: The university of Chicago press,Metaphors we live by,,201
1577,Fuzzy grammar and the performance/competence terminology game,,"Lakoff, George",271--291,1973,,article,,ninth regional meeting of the Chicago Linguistic Society,,
1578,Criterion for verb phrase constituency,,"Lakoff, George",,1966,,article,,,,
1579,"Metaforlar: Hayat, anlam ve dil",,"Lakoff, George and Demir, G{\""o}khan Yavuz",,2005,,book,Paradigma,,,
1580,More than cool reason: A field guide to poetic metaphor,,"Lakoff, George and Turner, Mark",,2009,,book,University of Chicago Press,,,
1581,Whose freedom?: the battle over America's most important idea,,"Lakoff, George",,2006,,book,Macmillan,,,
1582,\&amp; M,,"Lakoff, G",,1980,,article,Chi—cago: The University of Chicago Press,Johnson. Metaphors We Live By,,
1583,"Metaphor, morality, and politics, or, why conservatives have left liberals in the dust",,"Lakoff, George",177--213,1995,,article,"Graduate Faculty of Political and Social Science, New School for Social Research",Social Research,,
1584,Hedges: A study in meaning criteria and the logic of fuzzy concepts,,"Lakoff, George",458--508,1973,,article,Kluwer Academic Publishers,Journal of philosophical logic,4,2
1585,Metaphors we live by. 1980,,"Lakoff, George and Johnson, Mark",,2003,,article,,Chicago: U of Chicago P,,
1586,Is deep structure necessary?,,"Lakoff, George and Ross, John R",,1973,,book,Indiana University Linguistics Club,,,
1587,Foreign policy by metaphor,,"Chilton, Paul and Lakoff, George",61,1995,,article,37J60. London: Routledge,Language and peace,,37
1588,"Pronominalization, negation, and the analysis of adverbs",,"Lakoff, George",145--165,1970,,article,Ginn London,Readings in English transformational grammar,,
1589,On generative semantics,,"Lakoff, George",,1969,,book,Indiana University Linguistics Club,,,
1590,Linguistic gestalts,,"Lakoff, George",236--287,1977,,article,,"Papers from the... Regional Meeting. Chicago Ling. Soc. Chicago, Ill.",,13
1591,\&M. Johnson. Metaphor We Live By,,"Lakoff, George",,1980,,book,Chicago: The University of Chicago Press,,,
1592,Linguistics and natural logic,Semantics of natural language,"Lakoff, George",545--665,1972,,incollection,Springer Netherlands,,,
1593,Radial network,,"Brugman, Claudia and Lakoff, George",109,2006,,article,,Basic Readings,,
1594,The metaphorical structure of the human conceptual system,,"Lakoff, George and Johnson, Mark",195--208,1980,,article,No longer published by Elsevier,Cognitive science,2,4
1595,The death of dead metaphor,,"Lakoff, George",143--147,1987,,article,Taylor \& Francis,Metaphor and symbol,2,2
1596,Les m{\'e}taphores dans la vie quotidienne,,"Lakoff, George and Johnson, Mark and Lecercle, Jean-Jacques and de Fornel, Michel",,1985,,book,{\'E}d. de Minuit,,,
1597,"Women, fire, anddangerous things",,"Lakoff, George",,1987,,article,,Chicago: UniversityofChicagoPress,,
1598,XParent: An efficient RDBMS-based XML database system,"Data Engineering, 2002. Proceedings. 18th International Conference on","Jiang, Haifeng and Lu, Hongjun and Wang, Wei and Yu, Jeffrey Xu",335--336,2002,IEEE,inproceedings,,,,
1599,An efficient strategy for mining exceptions in multi-databases,,"Zhang, Shichao and Zhang, Chengqi and Yu, Jeffrey Xu",1--20,2004,,article,Elsevier,Information Sciences,1,165
1600,High-throughput transaction executions on graphics processors,,"He, Bingsheng and Yu, Jeffrey Xu",314--325,2011,,article,VLDB Endowment,Proceedings of the VLDB Endowment,5,4
1601,Ascending frequency ordered prefix-tree: efficient mining of frequent patterns,"Database Systems for Advanced Applications, 2003.(DASFAA 2003). Proceedings. Eighth International Conference on","Liu, Guimei and Lu, Hongjun and Xu, Yabo and Yu, Jeffrey Xu",65--72,2003,IEEE,inproceedings,,,,
1602,Diversifying top-k results,,"Qin, Lu and Yu, Jeffrey Xu and Chang, Lijun",1124--1135,2012,,article,VLDB Endowment,Proceedings of the VLDB Endowment,11,5
1603,Fast computing reachability labelings for large graphs with high compression rate,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,"Cheng, Jiefeng and Yu, Jeffrey Xu and Lin, Xuemin and Wang, Haixun and Yu, Philip S",193--204,2008,ACM,inproceedings,,,,
1604,Stock prediction: Integrating text mining approach using real-time news,"Computational Intelligence for Financial Engineering, 2003. Proceedings. 2003 IEEE International Conference on","Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Lam, Wai",395--402,2003,IEEE,inproceedings,,,,
1605,Graph reachability queries: A survey,Managing and Mining Graph Data,"Yu, Jeffrey Xu and Cheng, Jiefeng",181--215,2010,,incollection,Springer US,,,
1606,Similarity match over high speed time-series streams,"Data Engineering, 2007. ICDE 2007. IEEE 23rd International Conference on","Lian, Xiang and Chen, Lei and Yu, Jeffrey Xu and Wang, Guoren and Yu, Ge",1086--1095,2007,IEEE,inproceedings,,,,
1607,AFOPT: An Efficient Implementation of Pattern Growth Approach.,FIMI,"Liu, Guimei and Lu, Hongjun and Yu, Jeffrey Xu and Wang, Wei and Xiao, Xiangye",,2003,,inproceedings,,,,
1608,Suppressing model overfitting in mining concept-drifting data streams,Proceedings of the 12th ACM SIGKDD international conference on Knowledge discovery and data mining,"Wang, Haixun and Yin, Jian and Pei, Jian and Yu, Philip S and Yu, Jeffrey Xu",736--741,2006,ACM,inproceedings,,,,
1609,Efficient similarity joins for near-duplicate detection,,"Xiao, Chuan and Wang, Wei and Lin, Xuemin and Yu, Jeffrey Xu and Wang, Guoren",15,2011,,article,ACM,ACM Transactions on Database Systems (TODS),3,36
1610,Properties and microstructure of the hardened alkali-activated red mud--slag cementitious material,,"Pan, Zhihua and Li, Dongxu and Yu, Jian and Yang, Nanru",1437--1441,2003,,article,Pergamon,Cement and Concrete Research,9,33
1611,Parameter free bursty events detection in text streams,Proceedings of the 31st international conference on Very large data bases,"Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Yu, Philip S and Lu, Hongjun",181--192,2005,VLDB Endowment,inproceedings,,,,
1612,Finding time-dependent shortest paths over large graphs,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,"Ding, Bolin and Yu, Jeffrey Xu and Qin, Lu",205--216,2008,ACM,inproceedings,,,,
1613,Mining inter-transaction associations with templates,Proceedings of the eighth international conference on Information and knowledge management,"Feng, Ling and Lu, Hongjun and Yu, Jeffrey Xu and Han, Jiawei",225--233,1999,ACM,inproceedings,,,,
1614,Monitoring path nearest neighbor in road networks,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,"Chen, Zaiben and Shen, Heng Tao and Zhou, Xiaofang and Yu, Jeffrey Xu",591--602,2009,ACM,inproceedings,,,,
1615,Probabilistic skyline operator over sliding windows,"Data Engineering, 2009. ICDE'09. IEEE 25th International Conference on","Zhang, Wenjie and Lin, Xuemin and Zhang, Ying and Wang, Wei and Yu, Jeffrey Xu",1060--1071,2009,IEEE,inproceedings,,,,
1616,News sensitive stock trend prediction,Advances in knowledge discovery and data mining,"Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Lam, Wai",481--493,2002,,incollection,Springer Berlin Heidelberg,,,
1617,iGraph: a framework for comparisons of disk-based graph indexing techniques,,"Han, Wook-Shin and Lee, Jinsoo and Pham, Minh-Duc and Yu, Jeffrey Xu",449--459,2010,,article,VLDB Endowment,Proceedings of the VLDB Endowment,02-Jan,3
1618,Multiple materialized view selection for XPath query rewriting,"Data Engineering, 2008. ICDE 2008. IEEE 24th International Conference on","Tang, Nan and Yu, Jeffrey Xu and {\""O}zsu, M Tamer and Choi, Byron and Wong, Kam-Fai",873--882,2008,IEEE,inproceedings,,,,
1619,Efficient computation of the skyline cube,Proceedings of the 31st international conference on Very large data bases,"Yuan, Yidong and Lin, Xuemin and Liu, Qing and Wang, Wei and Yu, Jeffrey Xu and Zhang, Qing",241--252,2005,VLDB Endowment,inproceedings,,,,
1620,What makes the differences: benchmarking XML database implementations,,"Lu, Hongjun and Yu, Jeffrey Xu and Wang, Guoren and Zheng, Shihui and Jiang, Haifeng and Yu, Ge and Zhou, Aoying",154--194,2005,,article,ACM,ACM Transactions on Internet Technology (TOIT),1,5
1621,Circulating microRNA-218 was reduced in cervical cancer and correlated with tumor invasion,,"Yu, Jinjin and Wang, Yuan and Dong, Ruofan and Huang, Xiaoyan and Ding, Suning and Qiu, Haifeng",671--674,2012,,article,Springer-Verlag,Journal of cancer research and clinical oncology,4,138
1622,False positive or false negative: mining frequent itemsets from high speed transactional data streams,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,"Yu, Jeffery Xu and Chong, Zhihong and Lu, Hongjun and Zhou, Aoying",204--215,2004,VLDB Endowment,inproceedings,,,,
1623,A mobile TCP socket,,"Qu, Xun and Xu Yu, Jeffrey and Brent, Richard P and others",,1997,,article,The Australian National University,"Made available in DSpace on 2011-01-05T08: 44: 14Z (GMT). No. of bitstreams: 4 TR-CS-97-08. pdf. jpg: 1670 bytes, checksum: 01f315b0c2deac9acf6b39d9fe0e4e45 (MD5) 1586-01.2003-07-03T01: 35: 51Z. xsh: 356 bytes, checksum: 4d71684fc520485fcb1a8d06254af0ba (MD5) TR-CS-97-08. pdf: 355680 bytes, checksum: e4e616714a93f2e64ec710e297ff67b1 (MD5) TR-CS-97-08. pdf. txt: 78094 bytes, checksum: b8a8e80bd300a7ce8ef6cf1ded6eaaff (MD5) Previous issue date: 2004-05-19T13: 05: 06Z",,
1624,Keyword search in databases,,"Yu, Jeffrey Xu and Qin, Lu and Chang, Lijun",1--155,2009,,article,Morgan \& Claypool Publishers,Synthesis Lectures on Data Management,1,1
1625,A template model for multidimensional inter-transactional association rules,,"Feng, Ling and Yu, Jeffrey Xu and Lu, Hongjun and Han, Jiawei",153--175,2002,,article,Springer-Verlag,The VLDB Journal,2,11
1626,Continuously maintaining quantile summaries of the most recent n elements over a data stream,"Data Engineering, 2004. Proceedings. 20th International Conference on","Lin, Xuemin and Lu, Hongjun and Xu, Jian and Yu, Jeffrey Xu",362--373,2004,IEEE,inproceedings,,,,
1627,Efficient mining of frequent patterns using ascending frequency ordered prefix-tree,,"Liu, Guimei and Lu, Hongjun and Lou, Wenwu and Xu, Yabo and Yu, Jeffrey Xu",249--274,2004,,article,Kluwer Academic Publishers,Data Mining and Knowledge Discovery,2,9
1628,The Predicting Power of Textual Information on Financial Markets.,,"Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Lu, Hongjun",1--10,2005,,article,,IEEE Intelligent Informatics Bulletin,1,5
1629,Path materialization revisited: an efficient storage model for XML data,Australian Computer Science Communications,"Jiang, Haifeng and Lu, Hongjun and Wang, Wei and Yu, Jeffrey Xu",85--94,2002,"Australian Computer Society, Inc.",inproceedings,,,2,24
1630,Hot: Hypergraph-based outlier test for categorical data,Advances in Knowledge Discovery and Data Mining,"Wei, Li and Qian, Weining and Zhou, Aoying and Jin, Wen and Jeffrey, X Yu",399--410,2003,,incollection,Springer Berlin Heidelberg,,,
1631,On-line exact shortest distance query processing,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,"Cheng, Jiefeng and Yu, Jeffrey Xu",481--492,2009,ACM,inproceedings,,,,
1632,Web communities: Analysis and construction,,"Zhang, Yanchun and Yu, Jeffrey Xu and Hou, Jingyu",,2006,,book,Springer Science \& Business Media,,,
1633,Generating broadcast programs that support range queries,,"Tan, Kian-Lee and Yu, Jeffrey Xu",668--672,1998,,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",4,10
1634,TwigList: make twig pattern matching fast,"Advances in Databases: Concepts, Systems and Applications","Qin, Lu and Yu, Jeffrey Xu and Ding, Bolin",850--862,2007,,incollection,Springer Berlin Heidelberg,,,
1635,Graph clustering based on structural/attribute similarities,,"Zhou, Yang and Cheng, Hong and Yu, Jeffrey Xu",718--729,2009,,article,VLDB Endowment,Proceedings of the VLDB Endowment,1,2
1636,Bias-free time-integrating optical correlator using a photorefractive crystal,,"Psaltis, Demetri and Yu, Jeffrey and Hong, John",3860--3865,1985,,article,,"Applied Optics,",,24
1637,Time-dependent event hierarchy construction,Proceedings of the 13th ACM SIGKDD international conference on Knowledge discovery and data mining,"Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Liu, Huan and Yu, Philip S",300--309,2007,ACM,inproceedings,,,,
1638,Spatial range querying for Gaussian-based imprecise query objects,"Data Engineering, 2009. ICDE'09. IEEE 25th International Conference on","Ishikawa, Yoshiharu and Iijima, Yuichi and Yu, Jeffrey Xu",676--687,2009,IEEE,inproceedings,,,,
1639,Constructing suffix tree for gigabyte sequences with megabyte memory,,"Cheung, Ching-Fung and Yu, Jeffrey Xu and Lu, Hongjun",90--105,2005,,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",1,17
1640,Mining Changes of Classification by Correspondence Tracing.,SDM,"Wang, Ke and Zhou, Senqiang and Fu, Ada Wai-Chee and Yu, Jeffrey Xu and Jeffrey, Fu and Yu, Xu",95--106,2003,,inproceedings,,,,
1641,Finding maximal cliques in massive networks,,"Cheng, James and Ke, Yiping and Fu, Ada Wai-Chee and Yu, Jeffrey Xu and Zhu, Linhong",21,2011,,article,ACM,ACM Transactions on Database Systems (TODS),4,36
1642,Context-aware object connection discovery in large graphs,"Data Engineering, 2009. ICDE'09. IEEE 25th International Conference on","Cheng, James and Ke, Yiping and Ng, Wilfred and Yu, Jeffrey Xu",856--867,2009,IEEE,inproceedings,,,,
